time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1781688900,30498,30506,30485.5,30494.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30538.843409727528,30452.656590272472,21.895606485019467,3485,3131.705281697307,4432.58688381894,-117.11863714735696,0,0,0,0,30631.87979314756,33427.79083165857
1781689200,30493.75,30501.75,30488.5,30498.75,0,0,0,0,0,0,0,0,0,0,0,1,0,30533.66709474699,30456.58290525301,21.27806316466093,2520,2927.8035211315378,4697.5579225459605,5.903131350742115,0,0,1,0,31582.823189373976,33252.079627631465
1781689500,30498,30505.25,30480.75,30482.75,0,0,0,0,0,1,0,0,0,0,0,0,1,30537.512302265062,30448.487697734938,21.50820151004229,2543,2799.5356807543585,4391.705281697306,-132.20888899015148,0,0,0,1,29999.935434271934,32942.35160921627
1781689800,30482.5,30483,30448.5,30462,0,0,1,0,0,0,1,1,0,0,0,0,1,30516.654280674702,30414.845719325298,22.436187116467842,5017,3538.6904538362387,4199.303521131538,-375.4352145656776,0,0,0,0,27018.81949224295,32378.20569331405
1781690100,30461.5,30466.5,30448.25,30461.75,0,0,0,0,0,0,0,0,0,0,0,0,0,30499.705760626508,30415.044239373492,22.137173751005854,3556,3544.4603025574925,5308.035680754358,-286.0928063746028,0,0,0,0,27067.531821010074,31872.4272292851
1781690400,30463,30465,30427,30438.25,0,0,0,0,0,0,0,0,0,0,0,0,1,30499.905349153185,30392.094650846815,23.27023276879115,6009,4365.973535038328,5316.690453836239,-584.0313029806517,0,0,0,0,23153.775242062708,31042.079420978203
1781690700,30438,30450.25,30420,30447,0,0,0,0,0,0,0,0,0,0,0,1,0,30485.90318135653,30384.34681864347,23.76878757102035,5740,4823.982356692219,6548.9603025574925,-294.0256242603582,0,0,0,0,24861.54383710403,30453.456984418757
1781691000,30447.5,30453.75,30434.25,30450.25,0,0,0,0,0,0,0,0,0,0,0,1,0,30488.945811259637,30399.054188740363,23.463874173090325,2925,4190.988237794812,7235.973535038328,-177.38057563286975,0,0,0,0,25274.04383710403,29960.179541817353
1781691300,30450.75,30458,30437.75,30437.75,0,0,0,0,0,0,0,0,0,0,0,0,1,30492.851467598233,30402.898532401767,23.2343117321553,2674,3685.3254918632083,6286.482356692219,-281.34269390194856,0,0,0,0,23557.401861795388,29350.39119133907
1781691600,30437.75,30479.5,30436,30476,0,0,0,0,1,0,0,0,0,0,0,1,0,30516.522791341216,30398.977208658784,24.68186089414421,3827,3732.5503279088057,5527.988237794812,113.92956146150442,0,0,1,0,26922.522551450562,29119.165606587783
1781691900,30476.25,30478,30461.75,30462.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30514.119377673986,30425.630622326014,24.079585115991055,2541,3335.3668852725373,5598.825491863208,-83.43796902807998,0,0,0,1,24772.44562837364,28705.192275329293
1781692200,30462.5,30470.5,30451.75,30455.75,0,0,0,0,0,0,0,0,0,0,0,0,1,30506.048350697274,30416.201649302726,23.698900464848837,2825,3165.2445901816914,5003.050327908806,-137.18030833604178,0,0,0,0,23755.44562837364,28233.78783276209
1781692500,30455.25,30471,30451.5,30469.5,0,0,0,0,0,0,0,0,0,0,0,1,0,30506.09846850461,30416.40153149539,23.39897900307392,2714,3014.8297267877942,4747.866885272537,102.21675333754212,0,0,1,0,25738.75332068133,27996.16549827821
1781692800,30470,30486.75,30462.25,30485.25,0,0,0,0,0,0,0,0,0,0,0,1,0,30521.966435039994,30427.033564960006,23.47762335999721,2618,2882.553151191863,4522.244590181692,263.4139685094183,0,0,0,0,27368.32474925276,27936.371141228166
1781693100,30485.25,30488.5,30472,30481.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30522.96883253714,30437.53116746286,22.97922169142598,2568,2777.7021007945755,4323.829726787794,184.79624298497663,0,0,0,0,26784.688385616395,27826.68706926514
1781693400,30482,30498.5,30470.5,30474.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30533.5067730702,30435.4932269298,23.33784871346698,4084,3213.1347338630503,4166.553151191863,71.40241103633369,0,1,0,0,25690.759814187822,27623.26542592444
1781693700,30474.5,30480.75,30452.25,30459.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30516.309860708043,30416.690139291957,23.706573805362193,4056,3494.0898225753667,4819.702100794575,-119.46443160758008,0,0,0,1,23556.02297208256,27235.909001749023
1781694000,30459.75,30468.75,30440.25,30462,0,0,0,0,0,0,0,0,0,0,0,1,0,30504.82344208604,30404.17655791396,24.048961390693467,5296,4094.7265483835777,5241.13473386305,-34.08874481955684,0,0,0,0,23974.128235240452,26925.26321446249
