time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1781775840,30463.5,30464,30458.75,30458.75,0,1,0,0,30477.57629712652,30445.17370287348,30363.991892303104,30435.7416708875,30292.24211371871,9.050864751014846,276,374.2229922065616,635.0017324647637,26.11157475456004,0,0,0,0
1781775900,30459.25,30470,30458.25,30466.5,1,0,0,0,30483.865490188913,30444.384509811087,30364.09955078186,30435.88668776756,30292.312413796157,9.243660125942357,565,437.81532813770775,561.3344883098424,50.036350614010885,0,0,0,0
1781775960,30467,30473.25,30464.25,30468,1,0,0,0,30487.089383746847,30450.410616253153,30364.184041703615,30436.003510965915,30292.364572441315,9.226255831232189,429,434.8768854251385,656.7229922065617,40.88187651468249,0,0,0,0
1781776020,30468,30476.5,30467.5,30471.75,1,0,0,0,30490.315142050644,30453.684857949356,30364.293473877235,30436.15844585781,30292.42850189666,9.21009470042989,539,469.58459028342565,652.3153281377078,49.776785145267326,0,0,0,0
1781776080,30471.25,30475,30468,30472,1,0,0,0,30488.578346189883,30454.421653810117,30364.35454905315,30436.24467794015,30292.46442016615,9.052230793256326,302,413.72306018895046,704.3768854251384,38.59820833465059,0,0,0,0
1781776140,30472,30490.5,30472,30481.75,1,0,0,0,30505.09060717632,30457.40939282368,30364.563195921135,30436.5587524821,30292.56763936017,9.727071450880873,948,591.8153734593003,620.5845902834257,73.17366802773752,0,0,0,0
1781776200,30481.5,30488,30480.25,30486,1,0,0,0,30502.378778092298,30465.871221907702,30364.66930638235,30436.72154923414,30292.617063530564,9.585852061532238,470,551.2102489728669,887.7230601889505,79.52528239545612,0,0,0,0
1781776260,30485.25,30488.75,30482.75,30485.75,0,0,0,0,30502.744579657134,30468.755420342866,30364.746361534966,30436.840368169218,30292.652354900714,9.329719771422791,339,480.4734993152446,826.8153734593004,61.1336131415034,0,0,0,0
1781776320,30485,30489.25,30481.5,30485.5,0,0,0,0,30503.07532396734,30467.67467603266,30364.85499848704,30437.007365066154,30292.702631907927,9.216882644892593,480,480.3156662101631,720.7102489728669,45.967972792330926,0,1,0,0
1781776380,30486,30490,30485.5,30488.75,1,0,0,0,30503.319943683957,30472.180056316043,30364.897972703566,30437.074439005282,30292.72150640185,8.879962455971693,186,382.21044414010873,720.4734993152447,41.06265783183848,0,1,0,0
1781776440,30488.25,30490,30482,30483.25,0,1,0,0,30503.225661992245,30468.774338007755,30364.974088987663,30437.19102115672,30292.757156818607,8.817107994830858,338,367.47362942673914,573.315666210163,6.209983192638475,0,0,0,0
1781776500,30483.5,30491.75,30483,30487.5,1,0,0,1,30504.968471849945,30469.781528150055,30365.136764707724,30437.443391640576,30292.830137774872,8.812314566628654,710,481.64908628449274,551.2104441401087,28.158523349318813,0,0,0,0
1781776560,30487.75,30496,30483.25,30493,1,0,0,0,30509.640366717806,30469.609633282194,30365.32382363072,30437.738771368015,30292.908875893423,9.093577811869464,797,586.7660575229952,722.4736294267391,46.196773492144715,0,0,0,0
1781776620,30493.75,30494,30487.75,30488.5,0,1,0,0,30507.33569766653,30474.41430233347,30365.400469256518,30437.85914342735,30292.941795085684,8.890465111021644,329,500.8440383486635,880.1490862844928,3.709227044031536,0,0,0,0
1781776680,30488.25,30488.25,30482.5,30484.5,0,1,0,0,30501.276004976065,30469.473995023935,30365.481093255017,30437.98188947169,30292.980297038346,8.684003317377242,361,454.229358899109,751.2660575229952,-27.107928153657262,0,0,0,1
1781776740,30485.25,30489.75,30479.75,30488.75,1,0,0,0,30502.91700462063,30466.58299537937,30365.591042759654,30438.150132103572,30293.031953415735,8.778003080421724,489,465.819572599406,681.3440383486635,-13.795074136729369,0,0,0,0
1781776800,30488.75,30491.5,30479.75,30479.75,0,1,0,0,30504.985432862017,30466.264567137983,30365.731761318995,30438.361938512502,30293.10158412549,8.990288574677315,640,523.8797150662707,698.729358899109,-65.06334976065014,0,0,0,0
1781776860,30480,30483.25,30474,30479.25,0,1,0,0,30496.763259086158,30460.486740913842,30365.848529409035,30438.532017954745,30293.165040863325,9.008839390771794,555,534.2531433775138,785.819572599406,-64.52643725444813,0,0,0,0
1781776920,30479.25,30480.75,30471.25,30473.5,0,1,0,0,30494.315883437146,30457.684116562854,30365.960057384764,30438.69023968545,30293.22987508408,9.04392229143095,549,539.1687622516758,801.3797150662706,-90.66624413759547,0,0,0,0
1781776980,30473.75,30479.75,30471,30479,1,0,0,0,30493.284391763063,30457.465608236937,30366.016355681204,30438.770820363054,30293.261890999354,9.022927842043027,274,450.7791748344506,808.7531433775138,-64.6201395543221,0,0,0,0
1781777040,30479.5,30482,30472.25,30475.5,0,1,0,0,30495.612292351416,30458.637707648584,30366.093518532278,30438.881180917233,30293.305856147323,9.074861567611382,376,425.85278322296705,676.1687622516758,-72.91175415664102,0,0,0,0
1781777100,30474.75,30486,30472,30478.75,1,0,0,0,30500.139985754886,30457.860014245114,30366.17742867318,30439.00299724835,30293.351860098013,9.426657169924855,401,417.5685221486447,638.7791748344506,-53.87364721729756,0,0,0,0
1781777160,30479.5,30479.75,30470.5,30477.25,0,1,0,0,30493.871058200966,30456.378941799034,30366.271511877152,30439.13659942619,30293.406424328114,9.414038800644509,463,432.71234809909646,626.3527832229671,-59.34942243429712,0,0,0,0
1781777220,30475.5,30478.5,30473.5,30475.25,0,1,0,0,30492.148125472326,30459.851874527674,30366.30862536024,30439.189232251425,30293.428018469058,9.098750314884187,183,349.474898732731,649.0685221486447,-53.66614386791689,0,0,0,0
1781777280,30476,30478,30463.75,30467.75,0,1,0,0,30492.200045081445,30449.549954918555,30366.419927831248,30439.340311736094,30293.499543926402,9.46669672096389,581,426.6499324884873,524.2123480990965,-79.44202299067872,0,0,0,0
1781777340,30467.75,30469.75,30463.25,30469.75,1,0,0,0,30483.632184718484,30449.367815281516,30366.480357626126,30439.42085180783,30293.53986344442,9.254789812323612,323,392.09995499232485,639.9748987327309,-58.91010917568629,0,0,0,0
1781777400,30469.25,30472.5,30465.25,30465.5,0,1,0,0,30486.167385810022,30451.582614189978,30366.576531014456,30439.54908276279,30293.60397926612,9.111590540014783,514,432.73330332821655,588.1499324884873,-76.12046117380045,0,0,0,0
1781777460,30465.5,30469.5,30461.5,30465,0,1,0,0,30483.048286823592,30447.951713176408,30366.659300689887,30439.657229173736,30293.66137220604,9.032191215728012,454,439.822202218811,649.0999549923248,-67.2801527329761,0,0,0,0
