time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1726668000,19708.25,19731.5,19583.5,19693.25,0,0,0,0,0,0,0,0,1,0,0,0,1,19906.420277982525,19408.579722017475,116.61351865501697,386359,209595.31627027868,181820.21160812705,-16940.513393146568,0,0,0,0,-25096.92876248145,7057.024212394813
1726682400,19693.75,19899.75,19560.75,19633.25,0,0,0,0,0,0,1,0,1,0,1,0,1,20098.497400983775,19362.002599016225,132.49826732251577,663559,360916.54418018577,314392.97440541803,-26276.971604709986,0,0,0,0,-143519.70014891212,-7283.616202967752
1726696800,19646,19844.5,19635.5,19737.75,0,0,0,0,0,0,0,0,0,0,0,1,0,20051.68508662779,19428.31491337221,138.12339108519322,88157,269996.69612012384,541374.8162702787,-18924.528862541454,0,0,0,0,38700.50119617225,-2904.176450668704
1726711200,19738,19890.5,19731.25,19881,1,0,0,0,0,0,0,1,0,0,0,1,0,20099.94865186866,19521.80134813134,139.63243457910798,68393,202795.46408008257,404995.04418018577,-10661.154549630428,0,0,0,0,100114.62364515185,6907.137844171349
1726725600,19881,19984.25,19863.5,19979.5,0,0,0,0,1,0,0,0,0,0,0,1,0,20191.675533878042,19656.074466121958,138.28368925202884,75936,160508.97605338838,304193.19612012384,-3799.659088113598,0,0,0,0,162058.27581906487,21683.436698923113
1726740000,19979.5,20073.25,19963.25,20009,0,0,0,0,0,0,0,0,0,0,0,1,0,20277.64513860104,19758.85486139896,136.26342573402678,267412,196143.31736892558,240763.46408008257,2740.4685270141654,0,0,1,0,233773.31218270125,41882.47245928293
1726754400,20009.75,20203,19998.75,20193.25,0,0,0,0,0,0,0,0,1,0,0,1,0,20414.67941441525,19787.07058558475,141.11960961016774,540174,310820.2115792837,294214.9760533884,46962.15532393708,0,0,0,0,719070.3941900452,106376.56024316503
1726768800,20193.25,20201.75,20050,20063.25,0,0,0,0,0,0,0,0,0,0,0,0,1,20414.568384814163,19837.181615185837,141.87892320944147,252398,291346.1410528558,466230.31736892555,16693.605237385418,0,0,0,0,502848.05481607484,144135.75020248978
1726783200,20070,20074.75,20023.5,20055.25,0,0,0,0,0,0,0,0,0,0,0,0,1,20277.85814304172,19820.39185695828,135.40542869448137,45403,209365.0940352372,437019.2115792837,11010.541366566657,0,0,0,0,-13067.20487804878,129164.04019481945
1726797600,20055,20071.25,20020.25,20047.5,0,0,0,0,0,1,0,0,0,0,0,0,1,20265.31470425303,19826.18529574697,129.3764695020184,37830,152186.72935682483,314047.6410528558,7006.182991383641,0,0,0,0,-18630.440172166425,115088.37539796365
