time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1776324600,4849.6,4851.7,4840.6,4842.5,0,1,0,0,4868.820453325262,4823.479546674738,4844.425382906485,4851.924348213466,4836.926417599503,11.413635550174504,3983,6461.004907038373,11550.011040836338,-109.38068264131041,0,0,0,1
1776326400,4842.7,4843.6,4828,4832.9,0,1,0,0,4861.1689923734575,4810.431007626543,4843.832622579479,4851.4545499949145,4836.2106951640435,11.712661582304921,7857,6926.336604692248,9691.50736055756,-557.3231658161603,0,0,0,0
1776328200,4832.9,4836,4827.4,4835,1,0,0,0,4853.23549291821,4810.164507081789,4843.448773581325,4851.205067115994,4835.692480046657,11.490328612140312,4583,6145.224403128165,10389.504907038372,-349.03492021960096,0,0,0,0
1776330000,4835,4839.4,4832.3,4834.4,0,1,0,0,4856.165100566909,4815.534899433091,4843.242439979484,4851.004479547389,4835.480400411579,11.176733711273107,3451,5247.149602085444,9217.836604692247,-309.4962941740589,0,0,0,0
1776331800,4834.3,4836.7,4827.6,4834.2,0,1,0,0,4853.242593383558,4811.057406616442,4842.811359940243,4850.688887421795,4834.9338324586915,11.028395589039274,5840,5444.766401390296,7870.724403128166,-253.70397505317047,0,0,0,0
1776333600,4834.1,4836.8,4826.2,4828.5,0,1,0,0,4853.296693856162,4809.703306143838,4842.483342536606,4850.504116291057,4834.462568782155,10.997795904107923,3860,4916.510934260197,8167.149602085444,-392.25470592589335,0,0,0,0
1776335400,4828.3,4838.6,4825.9,4838.4,1,0,0,0,4855.279072866437,4809.220927133563,4842.2557773005865,4850.277889288785,4834.2336653123875,11.11938191095741,4144,4659.007289506798,7374.766401390296,-0.599499988670857,0,0,0,0
1776337200,4838.7,4842.2,4836.2,4837.6,0,1,0,0,4858.33056766169,4820.0694323383095,4842.169350194613,4850.113362579174,4834.225337810052,10.753711774460452,3677,4331.6715263378655,6988.510934260197,-54.72639213612621,0,0,0,0
1776339000,4837.6,4844.5,4837.4,4843.8,1,0,0,0,4860.239098542998,4821.660901457001,4842.162831769809,4850.01023983864,4834.315423700978,10.492732361999018,3787,4150.11435089191,6497.507289506799,276.0497526980323,0,0,1,0
1776340800,4844,4845,4833,4836.4,0,1,0,0,4860.900591504213,4817.099408495787,4842.0014896745215,4849.730665509909,4834.272313839134,10.600394336141944,6527,4942.409567261274,6225.1715263378655,-156.18027828595166,0,0,0,1
1776342600,4836.4,4842.5,4832.8,4837.8,1,0,0,0,4858.304120682484,4816.9958793175165,4841.857689244131,4849.495810769238,4834.219567719023,10.536080454988936,5638,5174.273044840849,7413.61435089191,-42.058380631140494,0,0,0,0
