time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1781232900,29556.5,29565.25,29544.5,29562.5,1,0,0,0,29613.71780160199,29496.03219839801,29548.63522575113,29584.561370308456,29512.709081193807,32.31186773465905,2000,2813.7082991699017,4830.843673132279,67.15931425771234,0,0,0,0
1781233200,29562,29564.75,29529,29546.25,0,1,0,0,29613.586172916133,29480.163827083867,29548.61106278379,29584.316697771374,29512.90542779621,32.55744861075483,2942,2856.4721994466013,4220.562448754852,-76.88348062967852,0,0,0,1
1781233500,29546.75,29546.75,29523.75,29542,0,1,0,0,29594.56216056498,29475.93783943502,29548.47977366959,29583.9941323857,29512.965414953484,31.87477370998663,2866,2859.6481329644007,4284.708299169902,-127.53823304238288,0,0,0,0
1781233800,29542,29545,29510.5,29521.75,0,1,0,0,29593.09343481034,29462.40656518966,29548.166197725226,29583.534242647886,29512.798152802567,32.06228987355902,3393,3037.4320886429336,4289.472199446601,-299.62444708548367,0,0,0,0
1781234100,29522.5,29531,29510,29513.25,0,1,0,0,29577.908189466743,29463.091810533257,29547.8570136044,29583.173408229297,29512.540618979503,31.272126311161944,2554,2876.288059095289,4556.1481329644,-356.3199472037052,0,0,0,0
1781234400,29512.25,29517.25,29492,29497,0,1,0,0,29563.51296164769,29445.73703835231,29547.319095086023,29582.772213473767,29511.86597669828,30.841974431793233,2955,2902.525372730193,4314.432088642934,-462.1273678532585,0,0,0,0
1781234700,29497,29527.5,29492,29521.25,1,0,0,0,29574.26203581571,29445.23796418429,29546.806321654512,29582.23024871374,29511.382394595286,31.174690543808,3881,3228.6835818201284,4353.788059095289,-127.86901701814384,0,0,0,0
1781235000,29520.5,29541,29516.5,29525,1,0,0,0,29587.046890400303,29470.453109599697,29546.545110932533,29581.799209420773,29511.291012444293,30.697926933536,3502,3319.789054546752,4843.025372730192,-43.34148200510883,0,0,0,0
1781235300,29525.5,29536.75,29519.5,29535,1,0,0,0,29581.356041085997,29474.893958914003,29546.40881352426,29581.54466593417,29511.27296111435,29.737360723997714,2206,2948.5260363645016,4979.683581820128,79.65964903814974,0,0,1,0
1781235600,29536,29554,29527.25,29532.25,0,1,0,0,29598.28596672271,29482.96403327729,29546.305284119004,29581.24095505174,29511.369613186267,29.523977815140736,3190,3029.0173575763342,4422.789054546753,23.02685386050624,0,0,0,0
1781235900,29531.75,29532.25,29500.75,29522.5,0,1,0,0,29576.747683385376,29456.252316614624,29545.877574278333,29580.71199145441,29511.043157102256,29.665122256916398,4128,3395.3449050508893,4543.526036364501,-95.27618092474519,0,0,0,1
1781236200,29522.5,29533,29514.25,29529.25,1,0,0,0,29576.328206000704,29470.921793999296,29545.66923798494,29580.385699039623,29510.95277693026,28.885470667136655,2772,3187.563270033926,5093.017357576334,16.851423964517544,0,0,1,0
1781236500,29528.5,29541,29523.25,29530.5,1,0,0,0,29583.135119857798,29481.114880142202,29545.55611867836,29580.155749158115,29510.956488198604,28.09007990519832,2195,2856.708846689284,4781.344905050889,37.54154325310766,0,0,0,0
1781236800,29530.75,29531.5,29505.5,29515.25,0,1,0,0,29573.411182725096,29463.588817274904,29545.314119676845,29579.862495052173,29510.765744301516,27.94078848339844,2371,2694.8058977928563,4285.0632700339265,-102.09372008146977,0,0,0,1
1781237100,29514.5,29514.5,29492.75,29503.25,0,1,0,0,29555.828241101877,29451.421758898123,29544.96131247812,29579.575574810788,29510.347050145454,27.552160734584266,2346,2578.5372651952375,4042.2088466892847,-196.4128379235225,0,0,0,0
1781237400,29503,29519.75,29496,29516.75,1,0,0,0,29560.670866737455,29455.079133262545,29544.667319760392,29579.276173551712,29510.058465969072,27.280577824971108,2416,2524.358176796825,3867.8058977928563,-26.199781514350732,0,0,0,0
1781237700,29516.5,29523.5,29492.75,29499.25,0,1,0,0,29564.792590541925,29451.457409458075,29544.334935534815,29578.98623904843,29509.6836320212,27.528393694616028,2380,2476.2387845312164,3786.5372651952375,-144.429502401281,0,0,0,0
1781238000,29498.25,29523.75,29488.5,29517.25,1,0,1,0,29565.869905503216,29446.380094496784,29543.985612442386,29578.633642593973,29509.3375822908,28.079937002143456,2893,2615.1591896874775,3714.3581767968244,32.4826147144511,0,0,1,0
1781238300,29516.5,29539.25,29514.75,29534.75,1,0,0,0,29580.986340824413,29473.013659175587,29543.867483119055,29578.397569009176,29509.337397228934,27.824227216276064,2363,2531.106126458318,3922.738784531216,195.3931413534579,0,0,0,0
